"Classified";"Classified"
"Classifieds";"Køb/Salg/Byt"
"classified";"classified";"classifieds"
"View All Listings";"Vis alle annoncer"
"Classified Listings";"Classified Listings"
"Delete Classified Listing?";"Slet opslag?"
"Are you sure that you want to delete the classified listing with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Er du sikker på, at du vil slette annoncen med overskriften ""%1$s"", sidst ændret %2$s? Annoncen kan ikke genskabes efter at den er blevet slettet."

"Delete";"Slet"
"or";"eller"
"cancel";"fortryd"

"ADMIN_ACTIVITY_TYPE_CLASSIFIED_NEW";"Når en bruger (subject) slår en ny annonce op (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_CLASSIFIED";"Når en bruger (subject) kommenterer en anden brugers (object) annonce."

"_ACTIVITY_ACTIONTYPE_CLASSIFIED_NEW";"Ny annonce"
"_ACTIVITY_ACTIONTYPE_COMMENT_CLASSIFIED";"Kommenter på dine annoncer"

"ACTIVITY_TYPE_COMMENTED_CLASSIFIED";"Når nogen kommenterer på en annonce, som jeg har kommenterer på."
"ACTIVITY_TYPE_COMMENT_CLASSIFIED";"Når nogen kommenterer på mine annoncer."
"ACTIVITY_TYPE_LIKE_CLASSIFIED";"Når nogen synes godt om en af mine annoncer."
"ACTIVITY_TYPE_LIKED_CLASSIFIED";"Når nogen kommenterer på en annonce, som jeg synes godt om."
"ACTIVITY_TYPE_CLASSIFIED_NEW";"Når en ny annonce bliver slået op."

"Main Photo";"Primært billede"

"Post New Listing";"Opret ny annonce"
"Showing classified listings using the tag";"Viser annoncer som bruger tag'et"
"Showing classified listings created on";"Viser annoncer oprettet den"

"map";"kort"

"Nobody has posted a classified listing with that criteria.";"Ingen har indrykket en annonce som passer på kriteriet."
"Be the first to %1$spost%2$s one!";"Vær den første til at %1$soprette%2$s en!"
"Nobody has posted a classified listing yet.";"Ingen har oprettet annoncer endnu."
"Be the first to %1$spost%2$s one!";"Vær den første til at %1$soprette%2$s en!"

"Search Classifieds";"Søg annoncer"
"All Categories";"Alle kategorier"

"%1$s's Tags";"%1$s's Tags"
"%1$s's Classified Listing";"%1$s's Annonceoversigt"
"%1$s's Classified Listings";"%1$s's Annonceoversigter"

"Edit Listing";"Editer opslag"
"Add Photos";"Tilføj fotos"

"Close Listing";"Luk annonce"
"Open Listing";"Åbn annonce"
"Delete Listing";"Slet annonce"

"posted by";"Indrykket af"
"You do not have any classified listing that match your search criteria.";"Du har ingen annoncer, som passer til dine søgekriterier."
"You do not have any classified listings.";"Du har ikke nogen annoncer."

"Get started by <a href='%1$s'>posting</a> a new listing.";"Begynd med at oprette <a href='%1$s'>posting</a> en ny annonce."

"Listing Posted";"Oprettede annoncer"
"Your listing was successfully published. Would you like to add some photos to it?";"Din annonce er blevet slået op. Vil du gerne tilføje nogle fotos?"

"continue to my listing";"fortsæt til min oversigt"

"The classified you are looking for does not exist or has been deleted.";"Annoncen som du søger efter, eksisterer ikke eller er blevet slettet."
"Edit This Listing";"Rediger denne annonce"

"Categories";"Kategorier"
"All Categories";"Alle kategorier"
"Archives";"Arkiv"

"This classified listing has been closed by the poster.";"Denne annonce er blevet lukket af ejeren."

"Posted by";"Slået op af"
"Filed in";"Oprettet i"

"Classified Listing Photos";"Billeder til annonce"

"Save Changes";"Gem ændringer"

"File Upload";"Upload fil"
"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code.";"Denne form er bare et eksempel på den diskrete virkemåde af FancyUpload. Hvis denne del ikke ændres, må der være noget galt med din kode."

"Upload a Photo:";"Upload et billede:"
"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your classified listing."; "Klik på ""Tilføj billeder"" for at vælge et eller flere billeder fra din computer. Når du valgt de billder du ønsker, vil de blive uploadet umidedelbart efter. Når de er blevet uploadet, kan du vælge de billeder, som skal sættes på annoncen, ved at klikke på knappen nedenunder billdeoversigten."
"Clear List";"Ryd liste"

"Search";"Søg"

"Title";"Titel"
"Image Description";"Billedebeskrivelse"
"Delete Photo";"Slet billede"

"Add New Photos";"Tilføj billede"
"Choose photos on your computer to add to this classified listing. (2MB maximum)";"Vælg billeder på din computer, som skal tilføjes denne annonce(2MB maksimum)."
"Save Photos";"Gem billeder"

"Compose your new classified listing below, then click ""Post Listing"" to publish the listing.";"Opret din annonce nedenunder, og klik på ""Vis annonce"" for at offentliggøre den."
"Listing Title";"Annoncetitel"
"Tags (Keywords)";"Tags (Nøgleord)"
"Category";"Kategori"
"Description";"Beskrivelse"
"Main Photo";"Primært billede"

"Privacy";"Synlighed"
"Who may see this classified listing?";"Hvem må kunne se denne annonce?"
"Comment Privacy";"Kommenter synlighed"
"Who may post comments on this classified listing?";"Hvem må kommentere på denne annonce?"
"Post Listing";"Slå annonce op"

"Edit Classified Listing";"Rediger annonce"
"Edit your listing below, then click ""Save Changes"" to save your listing.";"Rediger din annonce, og klik på ""Gem Ændringer"" for at gemme."
"Album Cover";"Albumforside"

"Browse By";"Se efter"
"Most Recent";"Seneste"
"Most Viewed";"Mest sete"

"Show";"Vis"
"Everyone's Posts";"Alles kommentarer"
"Only My Friends' Posts";"Kun mine venners kommentarer"

"Status";"Status"
"All Listings";"Alle annoncer"
"Only Open Listings";"Kun åbne annoncer"
"Only Closed Listings";"Kun lukkede annoncer"

"Category";"Kategori"
"All Categories";"Alle kategorier"

"Your changes have been saved.";"Dine ændringer er blevet gemt."

"Max file size limit exceeded (probably).";"Den maksimale filstørrelse er overskredet (sandsynligvis)."
"Invalid request method";"Ugyldig forespørgsel"
"No file";"Ingen fil"
"Invalid Upload";"Ugyldig upload"
"An error occurred.";"Der opstod en fejl"

"Browse Listings";"Gennemse annoncer"
"My Listings";"Mine annoncer"
"Post a New Listing";"Opret en ny annonce"

"You have already created the maximum number of classified listings allowed.";"Du har allerede oprettet det maksimalt tilladelige antal annoncer."
"If you would like to create a new listing, please <a href=""%1$s"">delete</a> an old one first.";"Hvis du gerne vil oprette en ny annonce, så vær venlig at <a href=""%1$s"">slette</a> en gammel først."
"If you would like to create a new listing, please delete an old one first.";"Hvis du gerne vil oprette en ny annonce, så vær venlig at slette en gammel først."

"Everyone's Posts";"Alles kommentarer"
"Only My Friends' Posts";"Kun mine venners kommentarer"

"Next &#187;";"Næste &#187;"
"&#171; Previous";"&#171; Forrige"

"%s has not posted a classified listing yet.";"%s er endnu ikke blevet slået op."

"CLASSIFIEDS_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Denne side viser alle annoncer, som dine brugere har slået op. Du kan bruge denne side til at overvåge annoncer, og slette krænkende materiale hvis det findes nødvendigt. ved at tilføj kriterier til filterrubrikerne, vil det hjælpe med at finde specifikke opslag. Ved at lade dem være tomme, vil samtlige opslag på dit netværk blive vist."
"There are no classified listings by your members yet.";"Der er ikke nogen annoncer fra dine medlemmer endnu."

"Delete Classified Listing?";"Slet annonce?"
"CLASSIFIED_VIEWS_SCRIPTS_ADMINMANAGE_DELETE_DESCRIPTION";"Er du sikker på, at du vil slette denne annonce? Den kan ikke genskabes, når den først er blevet slettet."
"Delete Classified Category?";"Slet annoncekategori"
"CLASSIFIEDS_VIEWS_SCRIPTS_ADMINSETTINGS_DELETE_DESCRIPTION";"Er du sikker på, at du vil slette denne kategori? Den kan ikke genskabes, når den først er blevet slettet."

"Classified Listing Categories";"Annoncekategorier"
"CLASSIFIEDS_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"Hvis du gerne vil tillade dine brugere at kategorisere deres annoncer, skal du oprette kategorier (nedenfor). Denne funktion er nyttig, såfremt du vil have dine brugeres annoncer kategoriseret. Såfremt der ikke er oprettet kategorier, vil dine brugere ikke få muligheden, for at tilføje en annonce til en kategori"
"There are currently no categories.";"Der er pt. ingen kategorier."
"Upload complete.";"Upload færdig."
"An error occurred:";"Der opstod en fejl:"
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"Installer den seneste version af Adobe Flash, for at aktivere upload."
"A required file was not found, please be patient and we'll fix this.";"En påkrævet fil blev ikke fundet. Vi beder dig om at være overbærende - vi arbejder på sagen."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"Aktiver den blokerede Adobe Flash film, for at kunne bruge upload (se Flash blokering)."
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"For at aktivere upload, skal du fjerne blokeringen af funktionen i din browser og indlæse siden igen(se Adblock)."
"Classified Questions";"Spørgsmål vedr. annoncer"
"View Classifieds";"Vis annoncer"

"CLASSIFIED_FORM_ADMIN_LEVEL_DESCRIPTION";"Disse indstillinger er gyldige på basis af brugerniveau. Start med at vælge det brugerniveau, som du ønsker at ændre. Detnæst vælg indstillinger for det pågældende niveau"
"Allow Viewing of Classifieds?";"Tillad visning af annoncer?"
"Do you want to let members view classifieds? If set to no, some other settings on this page may not apply.";"Vil du tillade andre medlemmer at de annoncer? Hvis sat til 'nej' vil nogle indstillinger på denne side være irrelevante."
"No, do not allow classifieds to be viewed.";"Nej, tillade ikke annoncer at blive set."
"Yes, allow viewing of classifieds.";"Ja, tillad visning af annoncer."
"Yes, allow viewing of all classifieds, even private ones.";"Ja, tillad visning af alle annoncer, selv private annoncer"

"Allow Editing of Classifieds?";"Tillad redigering af annoncer?"
"Do you want to let members edit classifieds? If set to no, some other settings on this page may not apply.";"Vil du tillade medlemmer at redigere annoncer? Hvis sat til 'nej', vil nogle indstillinger på denne side være irrelevante."
"No, do not allow members to edit their classifieds.";"Nej, tillad ikke medlemmer at redigere annoncer."
"Yes, allow members to edit their own classifieds.";"Ja, tillad medlemmer at redigere annoncer."
"Yes, allow members to edit all classifieds.";"Ja, tillad medlemmer at redigere i alle annoncer."

"Allow Deletion of Classifieds?";"Allow Deletion of Classifieds?"
"Do you want to let members delete classifieds? If set to no, some other settings on this page may not apply.";"Do you want to let members delete classifieds? If set to no, some other settings on this page may not apply."
"No, do not allow members to delete their classifieds.";"No, do not allow members to delete their classifieds."
"Yes, allow members to delete their own classifieds.";"Yes, allow members to delete their own classifieds."
"Yes, allow members to delete all classifieds.";"Yes, allow members to delete all classifieds."

"Allow Creation of Classifieds?";"Allow Creation of Classifieds?"
"Yes, allow creation of classifieds.";"Yes, allow creation of classifieds."
"No, do not allow classifieds to be created.";"No, do not allow classifieds to be created."

"Allow Uploading of Photos?";"Allow Uploading of Photos?"
"Do you want to let members upload photos to a classified listing? If set to no, the option to upload photos will not appear.";"Do you want to let members upload photos to a classified listing? If set to no, the option to upload photos will not appear."
"Yes, allow photo uploading to classifieds.";"Yes, allow photo uploading to classifieds."
"No, do not allow photo uploading.";"No, do not allow photo uploading."

"HTML in Classified Listings?";"HTML in Classified Listings?"
"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font";"If you want to allow specific HTML tags, you can enter them below (separated by commas). Example: b, img, a, embed, font"
"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr";"strong, b, em, i, u, strike, sub, sup, p, div, pre, address, h1, h2, h3, h4, h5, h6, span, ol, li, ul, a, img, embed, br, hr"

"CLASSIFIED_FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your members will be asked to provide some information about their classified listing when creating a new classified. Create some classified questions that allow them to describe their product in a way that relates to the theme of your community. To reorder the classified questions, click on their names and drag them up or down."
"CLASSIFIED_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let members create classifieds? If set to no, some other settings on this page may not apply. This is useful if you want members to be able to view classifieds, but only want certain levels to be able to create classifieds."
"CLASSIFIED_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their classified listings. These options appear on your members' ""Add Listings"" and ""Edit Entry"" pages. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"CLASSIFIED_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comments on their listings. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"Enter the maximum number of allowed classifieds. The field must contain an integer between 1 and 999.";"Enter the maximum number of allowed classifieds. The field must contain an integer between 1 and 999."

"Allow Viewing of Classifieds?";"Allow Viewing of Classifieds?"
"Allow Editing of Classifieds?";"Allow Editing of Classifieds?"
"Allow Deletion of Classifieds?";"Allow Deletion of Classifieds?"
"Allow Creation of Classifieds?";"Allow Creation of Classifieds?"
"Classifieds Listing Privacy";"Classifieds Listing Privacy"
"Classified Comment Options";"Classified Comment Options"
"Maximum Allowed Classifieds";"Maximum Allowed Classifieds"

"These settings affect all members in your community.";"These settings affect all members in your community."
"CLASSIFIED_FORM_ADMIN_GLOBAL_CLASSIFIEDPUBLIC_DESCRIPTION";"Select whether or not you want to let the public (visitors that are not logged-in) to view the following sections of your social network. In some cases (such as Profiles, Blogs, and Albums), if you have given them the option, your users will be able to make their pages private even though you have made them publically viewable here. For more permissions settings, please visit the General Settings page."
"Yes, the public can view classifieds unless they are made private.";"Yes, the public can view classifieds unless they are made private."
"No, the public cannot view classifieds.";"No, the public cannot view classifieds."

"Classified Currency";"Classified Currency"
"Please enter the currency you will be using for you classified plugin.";"Please enter the currency you will be using for you classified plugin."

"Listings Per Page";"Listings Per Page"
"How many classified listings will be shown per page? (Enter a number between 1 and 999)";"How many classified listings will be shown per page? (Enter a number between 1 and 999)"
"No identifier specified";"No identifier specified"
"Your changes were saved. Click %s to view your listing.";"Your changes were saved. Click %s to view your listing.
"Delete Classified Category?";"Delete Classified Category?"

"Location";"Location"
"Price";"Pris"

"Classifieds Plugin";"Classifieds tilføjelser"

"Allow Commenting on Classifieds?";"Allow Commenting on Classifieds?"
"Do you want to let members of this level comment on classifieds?";"Do you want to let members of this level comment on classifieds?"
"Yes, allow members to comment on classifieds.";"Yes, allow members to comment on classifieds."
"No, do not allow members to comment on classifieds.";"No, do not allow members to comment on classifieds."
"Enter the maximum number of allowed classifieds. The field must contain an integer, use zero for unlimited.";"Enter the maximum number of allowed classifieds. The field must contain an integer, use zero for unlimited."

"Profile Classifieds";"Profile Classifieds"

"Classified Main Navigation Menu";"Classified Main Navigation Menu"
"Classified Quick Navigation Menu";"Classified Quick Navigation Menu"
"Classified Gutter Navigation Menu";"Classified Gutter Navigation Menu"


# action types
"{item:$subject} posted a new classified listing:";"{item:$subject} posted a new classified listing:"
"{item:$subject} commented on {item:$owner}'s {item:$object:classified listing}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:classified listing}: {body:$body}"


# item types
"ITEM_TYPE_CLASSIFIED";"Annoncer"
"ITEM_TYPE_CLASSIFIED_PHOTO";"Classified Photos"
"ITEM_TYPE_CLASSIFIED_ALBUM";"Classified Albums"


# notification types
"{item:$subject} has commented on your {item:$object:classified listing}.";"{item:$subject} has commented on your {item:$object:classified listing}."
"{item:$subject} likes your {item:$object:classified listing}.";"{item:$subject} likes your {item:$object:classified listing}."
"{item:$subject} has commented on a {item:$object:classified listing} you commented on.";"{item:$subject} has commented on a {item:$object:classified listing} you commented on."
"{item:$subject} has commented on a {item:$object:classified listing} you liked.";"{item:$subject} has commented on a {item:$object:classified listing} you liked."

"Only Classifieds With Photos";"Only Classifieds With Photos"

"Are you sure you want to delete this classified listing?";"Are you sure you want to delete this classified listing?"
"Delete Classified Listing";"Delete Classified Listing"
"Classified listing doesn't exist or not authorized to delete";"Classified listing doesn't exist or not authorized to delete"
"Your classified listing has been deleted.";"Your classified listing has been deleted."